	latitude	longitude	elevation
D0.TUMD.*.HHE	55.2026	160.3989	478
YY.BDR.*.SHZ	56.5680	161.2080	720
YY.BDR.*.SHN	56.5680	161.2080	720
YY.BDR.*.SHE	56.5680	161.2080	720
YY.CIR.*.SHZ	56.1150	160.7480	1450
YY.CIR.*.SHN	56.1150	160.7480	1450
YY.CIR.*.SHE	56.1150	160.7480	1450
YY.KBT.*.SHZ	56.2080	162.8190	360
YY.KBT.*.SHN	56.2080	162.8190	360
YY.KBT.*.SHE	56.2080	162.8190	360
YY.KLY.*.SHZ	56.3167	160.8574	35
YY.KLY.*.SHN	56.3167	160.8574	35
YY.KLY.*.SHE	56.3167	160.8574	35
YY.KRS.*.SHZ	56.2170	160.5650	1180
YY.KRS.*.SHN	56.2170	160.5650	1180
YY.KRS.*.SHE	56.2170	160.5650	1180
YY.LGN.*.SHZ	56.0830	160.6900	2530
YY.LGN.*.SHN	56.0830	160.6900	2530
YY.LGN.*.SHE	56.0830	160.6900	2530
YY.SMK.*.SHZ	56.5820	161.4680	895
YY.SMK.*.SHN	56.5820	161.4680	895
YY.SMK.*.SHE	56.5820	161.4680	895
YY.SRK.*.SHZ	56.6540	161.1680	845
YY.SRK.*.SHN	56.6540	161.1680	845
YY.SRK.*.SHE	56.6540	161.1680	845
YY.ZLN.*.SHZ	56.0170	160.8030	1050
YY.ZLN.*.SHN	56.0170	160.8030	1050
YY.ZLN.*.SHE	56.0170	160.8030	1050
YY.BZG.*.SHZ	55.9399	160.6961	1150
YY.BZG.*.SHN	55.9399	160.6961	1150
YY.BZG.*.SHE	55.9399	160.6961	1150
YY.BZM.*.SHZ	55.9350	160.4900	1450
YY.BZM.*.SHN	55.9350	160.4900	1450
YY.BZM.*.SHE	55.9350	160.4900	1450
YY.BZW.*.SHZ	55.9650	160.4965	1620
YY.BZW.*.SHN	55.9650	160.4965	1620
YY.BZW.*.SHE	55.9650	160.4965	1620
YY.KIR.*.SHZ	55.9530	160.3420	1470
YY.KIR.*.SHN	55.9530	160.3420	1470
YY.KIR.*.SHE	55.9530	160.3420	1470
YY.KMN.*.SHZ	55.7560	160.2470	1145
YY.KMN.*.SHN	55.7560	160.2470	1145
YY.KMN.*.SHE	55.7560	160.2470	1145
YY.KOZ.*.SHZ	56.0576	159.8721	60
YY.KOZ.*.SHN	56.0576	159.8721	60
YY.KOZ.*.SHE	56.0576	159.8721	60
YY.KPT.*.SHZ	55.9660	160.2220	1000
YY.KPT.*.SHN	55.9660	160.2220	1000
YY.KPT.*.SHE	55.9660	160.2220	1000
YY.KZV.*.SHZ	55.1132	160.2938	1500
YY.KZV.*.SHN	55.1132	160.2938	1500
YY.KZV.*.SHE	55.1132	160.2938	1500
